family	genus	species	decimalLatitude	decimalLongitude
Bothidae			-38.9345	147.163
Bothidae			-38.6673	147.166
Bothidae			-38.6673	147.166
Bothidae			-38.3333	148.613
Bothidae			-37.7017	149.916
Bothidae			-37.6037	149.917
Bothidae			-37.7017	149.916
Bothidae			-38.4498	141.667
Bothidae			-38.782	143.068
Bothidae			-38.5495	141.666
Bothidae			-38.4498	147.169
Bothidae			-38.693	143.064
Bothidae			-38.4177	144.437
Bothidae			-38.5347	147.167
Bothidae			-38.4498	147.169
Bothidae			-38.6673	147.166
Bothidae			-38.6673	147.166
Bothidae			-37.9427	148.549
Bothidae			-38.3333	148.613
Bothidae			-38.6673	147.166
Bothidae			-37.8717	148.548
Bothidae			-38.9498	141.668
Bothidae			-38.0987	149.918
Bothidae			-38.9765	145.801
Bothidae			-38.9345	147.163
Bothidae			-38.6673	147.166
Bothidae			-38.5347	147.167
Bothidae			-38.3333	148.613
Bothidae			-38.6673	147.166
Bothidae			-38.3333	148.613
Bothidae			-37.9427	148.549
Bothidae			-38.0675	148.55
Bothidae			-38.0987	149.918
Bothidae			-38.0987	149.918
Bothidae			-38.0987	149.918
Bothidae			-37.8338	149.918
Bothidae			-37.8338	149.918
Bothidae			-37.8338	149.918
Bothidae			-37.6037	149.917
Bothidae			-38.0483	140.283
Bothidae			-38.0483	140.283
Bothidae			-33.95833	151.33333
Bothidae			-38.6825	141.668
Bothidae			-38.9498	141.668
Bothidae			-38.6825	141.668
Bothidae			-33.945	151.29167
Bothidae			-33.95	151.44333
Bothidae			-34.0	151.58333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.95833	151.33333
Bothidae			-33.95833	151.33333
Bothidae			-33.95833	151.33333
Bothidae			-34.04167	151.66667
Bothidae			-34.04167	151.66667
Bothidae			-34.04167	151.66667
Bothidae			-34.0	151.58333
Bothidae			-33.95	151.44333
Bothidae			-34.0	151.58333
Bothidae			-34.0	151.58333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.95833	151.33333
Bothidae			-33.95833	151.33333
Bothidae			-33.95	151.44333
Bothidae			-33.945	151.29167
Bothidae			-33.95833	151.33333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.95833	151.33333
Bothidae			-34.04167	151.66667
Bothidae			-34.04167	151.66667
Bothidae			-33.95	151.44333
Bothidae			-34.0	151.58333
Bothidae			-33.95	151.44333
Bothidae			-33.95833	151.33333
Bothidae			-33.95833	151.33333
Bothidae			-33.95833	151.33333
Bothidae			-34.04167	151.66667
Bothidae			-34.04167	151.66667
Bothidae			-34.0	151.58333
Bothidae			-34.0	151.58333
Bothidae			-33.95833	151.33333
Bothidae			-33.95	151.44333
Bothidae			-33.95833	151.33333
Bothidae			-33.95833	151.33333
Bothidae			-33.95833	151.33333
Bothidae			-33.945	151.29167
Bothidae			-33.945	151.29167
Bothidae			-33.945	151.29167
Bothidae			-34.04167	151.66667
Bothidae			-33.945	151.29167
Bothidae			-34.04167	151.66667
Bothidae			-34.0	151.58333
Bothidae			-34.0	151.58333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-34.04167	151.66667
Bothidae			-33.95833	151.33333
Bothidae			-34.0	151.58333
Bothidae			-34.04167	151.66667
Bothidae			-34.04167	151.66667
Bothidae			-34.04167	151.66667
Bothidae			-33.95833	151.33333
Bothidae			-34.0	151.58333
Bothidae			-34.0	151.58333
Bothidae			-34.0	151.58333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.95833	151.33333
Bothidae			-33.945	151.29167
Bothidae			-34.04167	151.66667
Bothidae			-34.0	151.58333
Bothidae			-34.0	151.58333
Bothidae			-33.95	151.44333
Bothidae			-33.945	151.29167
Bothidae			-34.0	151.58333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.945	151.29167
Bothidae			-33.95833	151.33333
Bothidae			-33.95833	151.33333
Bothidae			-33.95833	151.33333
Bothidae			-33.945	151.29167
Bothidae			-33.945	151.29167
Bothidae			-34.04167	151.66667
Bothidae			-33.95	151.44333
Bothidae			-33.945	151.29167
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-34.04167	151.66667
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-34.04167	151.66667
Bothidae			-33.95833	151.33333
Bothidae			-33.95833	151.33333
Bothidae			-33.95833	151.33333
Bothidae			-33.95833	151.33333
Bothidae			-33.95833	151.33333
Bothidae			-33.95833	151.33333
Bothidae			-34.0	151.58333
Bothidae			-33.95833	151.33333
Bothidae			-33.95833	151.33333
Bothidae			-33.95833	151.33333
Bothidae			-34.04167	151.66667
Bothidae			-33.95833	151.33333
Bothidae			-34.04167	151.66667
Bothidae			-34.0	151.58333
Bothidae			-34.0	151.58333
Bothidae			-34.0	151.58333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.95	151.44333
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.75	151.433
Bothidae			-33.817	151.417
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-34.133	151.183
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-33.967	151.367
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.9	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.817	151.417
Bothidae			-33.75	151.433
Bothidae			-34.133	151.183
Bothidae			-33.75	151.433
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.1	151.25
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-34.133	151.15
Bothidae			-33.967	151.367
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.817	151.417
Bothidae			-33.9	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.1	151.25
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.9	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-34.133	151.183
Bothidae			-33.75	151.433
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.75	151.433
Bothidae			-33.817	151.417
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-34.1	151.25
Bothidae			-33.967	151.367
Bothidae			-33.817	151.417
Bothidae			-34.133	151.183
Bothidae			-33.817	151.417
Bothidae			-34.133	151.183
Bothidae			-33.967	151.367
Bothidae			-34.133	151.183
Bothidae			-34.1	151.25
Bothidae			-33.967	151.367
Bothidae			-33.817	151.417
Bothidae			-33.9	151.417
Bothidae			-33.967	151.367
Bothidae			-33.9	151.417
Bothidae			-33.75	151.433
Bothidae			-33.9	151.417
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-33.967	151.367
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.817	151.417
Bothidae			-34.1	151.233
Bothidae			-33.817	151.417
Bothidae			-33.75	151.433
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-34.133	151.183
Bothidae			-33.75	151.433
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.1	151.25
Bothidae			-34.133	151.183
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.9	151.417
Bothidae			-33.967	151.367
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.1	151.25
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.1	151.25
Bothidae			-34.133	151.183
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-33.967	151.367
Bothidae			-34.1	151.25
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.9	151.417
Bothidae			-34.1	151.233
Bothidae			-33.9	151.417
Bothidae			-33.967	151.3
Bothidae			-33.9	151.417
Bothidae			-33.967	151.3
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-34.133	151.183
Bothidae			-33.75	151.433
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-33.967	151.3
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.9	151.417
Bothidae			-33.967	151.367
Bothidae			-33.9	151.417
Bothidae			-33.967	151.367
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.817	151.417
Bothidae			-33.9	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.9	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.133	151.183
Bothidae			-34.1	151.25
Bothidae			-34.133	151.183
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-34.1	151.25
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-33.9	151.417
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
